ProductKey,CustomerKey,SalesOrderNumber,SalesAmount,OrderDate,ShipDate
347,11039,SO43966,3399.99,2023-02-07,2023-02-14
313,28040,SO43967,3578.27,2023-02-08,2023-02-15
313,28067,SO43968,3578.27,2023-02-08,2023-02-15
310,28071,SO43969,3578.27,2023-02-08,2023-02-15
311,16684,SO43970,3578.27,2023-02-08,2023-02-15
314,16657,SO43971,3578.27,2023-02-08,2023-02-15
314,21939,SO43972,3578.27,2023-02-09,2023-02-16
312,28039,SO43973,3578.27,2023-02-09,2023-02-16
312,13687,SO43974,3578.27,2023-02-09,2023-02-16
312,13540,SO43975,3578.27,2023-02-09,2023-02-16
310,28063,SO43976,3578.27,2023-02-09,2023-02-16
312,16703,SO43977,3578.27,2023-02-09,2023-02-16
310,28030,SO43978,3578.27,2023-02-10,2023-02-17
322,14576,SO43979,699.0982,2023-02-10,2023-02-17
351,11048,SO43980,3374.99,2023-02-10,2023-02-17
314,16664,SO43981,3578.27,2023-02-10,2023-02-17
342,25271,SO43982,699.0982,2023-02-10,2023-02-17
314,28017,SO43983,3578.27,2023-02-11,2023-02-18
311,13545,SO43984,3578.27,2023-02-11,2023-02-18
313,13515,SO43985,3578.27,2023-02-11,2023-02-18
310,28070,SO43986,3578.27,2023-02-11,2023-02-18
310,28042,SO43987,3578.27,2023-02-12,2023-02-19
344,11244,SO43988,3399.99,2023-02-12,2023-02-19
312,28083,SO43989,3578.27,2023-02-12,2023-02-19
344,25872,SO43990,3399.99,2023-02-12,2023-02-19
310,16660,SO43991,3578.27,2023-02-12,2023-02-19
311,16638,SO43992,3578.27,2023-02-12,2023-02-19
314,16929,SO43993,3578.27,2023-02-14,2023-02-21
314,27681,SO43994,3578.27,2023-02-15,2023-02-22
312,21813,SO43995,3578.27,2023-02-15,2023-02-22
310,27920,SO43996,3578.27,2023-02-15,2023-02-22
310,28022,SO43997,3578.27,2023-02-15,2023-02-22
348,11033,SO43998,3374.99,2023-02-15,2023-02-22
311,28047,SO43999,3578.27,2023-02-15,2023-02-22
311,27918,SO44000,3578.27,2023-02-16,2023-02-23
313,28044,SO44001,3578.27,2023-02-16,2023-02-23
336,14572,SO44002,699.0982,2023-02-16,2023-02-23
342,19325,SO44003,699.0982,2023-02-16,2023-02-23
310,28061,SO44004,3578.27,2023-02-16,2023-02-23
334,26629,SO44005,699.0982,2023-02-16,2023-02-23
310,16744,SO44006,3578.27,2023-02-16,2023-02-23
320,25555,SO44007,699.0982,2023-02-16,2023-02-23
312,27678,SO44008,3578.27,2023-02-17,2023-02-24
314,27759,SO44009,3578.27,2023-02-17,2023-02-24
310,13680,SO44010,3578.27,2023-02-17,2023-02-24
310,13514,SO44011,3578.27,2023-02-17,2023-02-24
349,11052,SO44012,3374.99,2023-02-17,2023-02-24
312,16928,SO44013,3578.27,2023-02-17,2023-02-24
313,27917,SO44014,3578.27,2023-02-18,2023-02-25
311,13693,SO44015,3578.27,2023-02-18,2023-02-25
350,11247,SO44016,3374.99,2023-02-18,2023-02-25
310,28078,SO44017,3578.27,2023-02-18,2023-02-25
350,25876,SO44018,3374.99,2023-02-18,2023-02-25
310,16701,SO44019,3578.27,2023-02-18,2023-02-25
311,16931,SO44020,3578.27,2023-02-18,2023-02-25
348,11032,SO44021,3374.99,2023-02-18,2023-02-25
313,22008,SO44022,3578.27,2023-02-19,2023-02-26
349,19830,SO44023,3374.99,2023-02-19,2023-02-26
314,16663,SO44024,3578.27,2023-02-19,2023-02-26
314,16708,SO44025,3578.27,2023-02-19,2023-02-26
310,17045,SO44026,3578.27,2023-02-19,2023-02-26
310,21921,SO44027,3578.27,2023-02-20,2023-02-27
312,17048,SO44028,3578.27,2023-02-20,2023-02-27
350,11050,SO44029,3374.99,2023-02-20,2023-02-27
311,12131,SO44030,3578.27,2023-02-21,2023-02-28
313,13689,SO44031,3578.27,2023-02-21,2023-02-28
344,11243,SO44032,3399.99,2023-02-21,2023-02-28
314,16693,SO44033,3578.27,2023-02-21,2023-02-28
313,16702,SO44034,3578.27,2023-02-21,2023-02-28
312,16707,SO44035,3578.27,2023-02-21,2023-02-28
310,17046,SO44036,3578.27,2023-02-21,2023-02-28
328,25272,SO44037,699.0982,2023-02-21,2023-02-28
344,25868,SO44038,3399.99,2023-02-21,2023-02-28
342,17971,SO44039,699.0982,2023-02-22,2023-03-01
351,11057,SO44040,3374.99,2023-02-22,2023-03-01
313,16742,SO44041,3578.27,2023-02-22,2023-03-01
313,13678,SO44042,3578.27,2023-02-23,2023-03-02
311,13679,SO44043,3578.27,2023-02-23,2023-03-02
314,13690,SO44044,3578.27,2023-02-23,2023-03-02
344,28394,SO44045,3399.99,2023-02-23,2023-03-02
313,28064,SO44046,3578.27,2023-02-23,2023-03-02
344,25878,SO44047,3399.99,2023-02-23,2023-03-02
314,16713,SO44048,3578.27,2023-02-23,2023-03-02
314,13538,SO44049,3578.27,2023-02-24,2023-03-03
310,17050,SO44050,3578.27,2023-02-24,2023-03-03
310,13691,SO44051,3578.27,2023-02-25,2023-03-04
314,16637,SO44052,3578.27,2023-02-25,2023-03-04
338,19329,SO44053,699.0982,2023-02-26,2023-03-05
314,13542,SO44054,3578.27,2023-02-26,2023-03-05
310,13543,SO44055,3578.27,2023-02-26,2023-03-05
314,13559,SO44056,3578.27,2023-02-26,2023-03-05
338,14577,SO44057,699.0982,2023-02-26,2023-03-05
350,11056,SO44058,3374.99,2023-02-26,2023-03-05
313,16688,SO44059,3578.27,2023-02-26,2023-03-05
342,25273,SO44060,699.0982,2023-02-26,2023-03-05
310,27919,SO44061,3578.27,2023-02-27,2023-03-06
310,28041,SO44062,3578.27,2023-02-27,2023-03-06
344,11240,SO44063,3399.99,2023-02-27,2023-03-06
310,22050,SO44064,3578.27,2023-02-27,2023-03-06
310,28062,SO44065,3578.27,2023-02-27,2023-03-06
344,25867,SO44066,3399.99,2023-02-27,2023-03-06
310,17049,SO44067,3578.27,2023-02-27,2023-03-06
313,13541,SO44068,3578.27,2023-02-28,2023-03-07
349,28395,SO44069,3374.99,2023-02-28,2023-03-07
349,19829,SO44070,3374.99,2023-02-28,2023-03-07
313,16691,SO44071,3578.27,2023-02-28,2023-03-07
311,16656,SO44072,3578.27,2023-02-28,2023-03-07
351,11044,SO44073,3374.99,2023-02-28,2023-03-07
310,13821,SO44134,3578.27,2023-03-01,2023-03-08
310,28156,SO44135,3578.27,2023-03-01,2023-03-08
311,22114,SO44136,3578.27,2023-03-01,2023-03-08
314,17328,SO44137,3578.27,2023-03-01,2023-03-08
310,13765,SO44138,3578.27,2023-03-02,2023-03-09
311,13792,SO44139,3578.27,2023-03-02,2023-03-09
311,12221,SO44140,3578.27,2023-03-02,2023-03-09
313,13572,SO44141,3578.27,2023-03-02,2023-03-09
313,22058,SO44142,3578.27,2023-03-02,2023-03-09
313,28145,SO44143,3578.27,2023-03-02,2023-03-09
312,17071,SO44144,3578.27,2023-03-02,2023-03-09
310,17309,SO44145,3578.27,2023-03-02,2023-03-09
313,17310,SO44146,3578.27,2023-03-02,2023-03-09
310,17320,SO44147,3578.27,2023-03-02,2023-03-09
310,28172,SO44148,3578.27,2023-03-03,2023-03-10
312,17242,SO44149,3578.27,2023-03-03,2023-03-10
312,17315,SO44150,3578.27,2023-03-03,2023-03-10
328,25558,SO44151,699.0982,2023-03-03,2023-03-10
346,11334,SO44152,3399.99,2023-03-04,2023-03-11
312,28168,SO44153,3578.27,2023-03-04,2023-03-11
311,28181,SO44154,3578.27,2023-03-04,2023-03-11
313,28131,SO44155,3578.27,2023-03-04,2023-03-11
346,25887,SO44156,3399.99,2023-03-04,2023-03-11
314,17055,SO44157,3578.27,2023-03-04,2023-03-11
311,13567,SO44158,3578.27,2023-03-05,2023-03-12
311,28182,SO44159,3578.27,2023-03-05,2023-03-12
312,28186,SO44160,3578.27,2023-03-05,2023-03-12
314,13772,SO44161,3578.27,2023-03-06,2023-03-13
311,28185,SO44162,3578.27,2023-03-06,2023-03-13
314,28193,SO44163,3578.27,2023-03-06,2023-03-13
310,28088,SO44164,3578.27,2023-03-06,2023-03-13
313,17065,SO44165,3578.27,2023-03-06,2023-03-13
338,14581,SO44166,699.0982,2023-03-06,2023-03-13
314,17308,SO44167,3578.27,2023-03-06,2023-03-13
313,12211,SO44168,3578.27,2023-03-07,2023-03-14
311,28179,SO44169,3578.27,2023-03-07,2023-03-14
314,28183,SO44170,3578.27,2023-03-07,2023-03-14
313,28112,SO44171,3578.27,2023-03-07,2023-03-14
338,14584,SO44172,699.0982,2023-03-07,2023-03-14
312,13784,SO44173,3578.27,2023-03-08,2023-03-15
311,17229,SO44174,3578.27,2023-03-08,2023-03-15
313,17246,SO44175,3578.27,2023-03-08,2023-03-15
314,12220,SO44176,3578.27,2023-03-09,2023-03-16
350,11337,SO44177,3374.99,2023-03-09,2023-03-16
312,28097,SO44178,3578.27,2023-03-09,2023-03-16
350,25888,SO44179,3374.99,2023-03-09,2023-03-16
347,11058,SO44180,3399.99,2023-03-09,2023-03-16
312,17294,SO44181,3578.27,2023-03-09,2023-03-16
310,17299,SO44182,3578.27,2023-03-09,2023-03-16
310,28158,SO44183,3578.27,2023-03-10,2023-03-17
314,17247,SO44184,3578.27,2023-03-10,2023-03-17
310,17280,SO44185,3578.27,2023-03-10,2023-03-17
347,25889,SO44186,3399.99,2023-03-12,2023-03-19
313,17069,SO44187,3578.27,2023-03-12,2023-03-19
334,20052,SO44188,699.0982,2023-03-13,2023-03-20
322,20054,SO44189,699.0982,2023-03-13,2023-03-20
348,11061,SO44190,3374.99,2023-03-13,2023-03-20
310,17248,SO44191,3578.27,2023-03-13,2023-03-20
312,13570,SO44192,3578.27,2023-03-14,2023-03-21
312,28164,SO44193,3578.27,2023-03-14,2023-03-21
310,17064,SO44194,3578.27,2023-03-14,2023-03-21
313,17249,SO44195,3578.27,2023-03-14,2023-03-21
314,17295,SO44196,3578.27,2023-03-14,2023-03-21
312,28096,SO44197,3578.27,2023-03-15,2023-03-22
310,28150,SO44198,3578.27,2023-03-15,2023-03-22
313,17259,SO44199,3578.27,2023-03-15,2023-03-22
311,17312,SO44200,3578.27,2023-03-15,2023-03-22
313,12254,SO44201,3578.27,2023-03-16,2023-03-23
311,28159,SO44202,3578.27,2023-03-16,2023-03-23
312,28149,SO44203,3578.27,2023-03-16,2023-03-23
336,14580,SO44204,699.0982,2023-03-16,2023-03-23
312,17285,SO44205,3578.27,2023-03-16,2023-03-23
347,11250,SO44206,3399.99,2023-03-17,2023-03-24
313,28162,SO44207,3578.27,2023-03-17,2023-03-24
347,25879,SO44208,3399.99,2023-03-17,2023-03-24
311,17257,SO44209,3578.27,2023-03-17,2023-03-24
310,13783,SO44210,3578.27,2023-03-18,2023-03-25
313,28154,SO44211,3578.27,2023-03-18,2023-03-25
312,28170,SO44212,3578.27,2023-03-18,2023-03-25
310,17351,SO44213,3578.27,2023-03-18,2023-03-25
311,17332,SO44214,3578.27,2023-03-18,2023-03-25
312,28180,SO44215,3578.27,2023-03-19,2023-03-26
314,13560,SO44216,3578.27,2023-03-19,2023-03-26
310,28148,SO44217,3578.27,2023-03-19,2023-03-26
311,22109,SO44218,3578.27,2023-03-19,2023-03-26
338,14590,SO44219,699.0982,2023-03-19,2023-03-26
345,11060,SO44220,3399.99,2023-03-19,2023-03-26
314,17255,SO44221,3578.27,2023-03-19,2023-03-26
311,17258,SO44222,3578.27,2023-03-19,2023-03-26
310,13847,SO44223,3578.27,2023-03-20,2023-03-27
314,28166,SO44224,3578.27,2023-03-20,2023-03-27
322,20060,SO44225,699.0982,2023-03-21,2023-03-28
313,12255,SO44226,3578.27,2023-03-21,2023-03-28
349,28401,SO44227,3374.99,2023-03-21,2023-03-28
344,11333,SO44228,3399.99,2023-03-21,2023-03-28
344,25886,SO44229,3399.99,2023-03-21,2023-03-28
312,17241,SO44230,3578.27,2023-03-21,2023-03-28
334,17973,SO44231,699.0982,2023-03-21,2023-03-28
312,17334,SO44232,3578.27,2023-03-21,2023-03-28
310,13841,SO44233,3578.27,2023-03-22,2023-03-29
312,28184,SO44234,3578.27,2023-03-22,2023-03-29
313,22117,SO44235,3578.27,2023-03-22,2023-03-29
312,28191,SO44236,3578.27,2023-03-22,2023-03-29
310,17056,SO44237,3578.27,2023-03-22,2023-03-29
311,17079,SO44238,3578.27,2023-03-22,2023-03-29
311,12217,SO44239,3578.27,2023-03-23,2023-03-30
311,13580,SO44240,3578.27,2023-03-23,2023-03-30
313,28155,SO44241,3578.27,2023-03-23,2023-03-30
313,28163,SO44242,3578.27,2023-03-23,2023-03-30
312,17278,SO44243,3578.27,2023-03-23,2023-03-30
312,17329,SO44244,3578.27,2023-03-23,2023-03-30
330,25556,SO44245,699.0982,2023-03-23,2023-03-30
312,12219,SO44246,3578.27,2023-03-24,2023-03-31
310,17233,SO44247,3578.27,2023-03-24,2023-03-31
313,17240,SO44248,3578.27,2023-03-24,2023-03-31
313,13845,SO44249,3578.27,2023-03-25,2023-04-01
312,28167,SO44250,3578.27,2023-03-25,2023-04-01
311,28190,SO44251,3578.27,2023-03-25,2023-04-01
312,13777,SO44252,3578.27,2023-03-26,2023-04-02
310,28099,SO44253,3578.27,2023-03-26,2023-04-02
314,28142,SO44254,3578.27,2023-03-26,2023-04-02
340,14585,SO44255,699.0982,2023-03-26,2023-04-02
312,17232,SO44256,3578.27,2023-03-26,2023-04-02
313,12212,SO44257,3578.27,2023-03-27,2023-04-03
310,13579,SO44258,3578.27,2023-03-27,2023-04-03
312,28171,SO44259,3578.27,2023-03-27,2023-04-03
312,28194,SO44260,3578.27,2023-03-27,2023-04-03
312,22112,SO44261,3578.27,2023-03-27,2023-04-03
322,20149,SO44262,699.0982,2023-03-27,2023-04-03
310,17279,SO44263,3578.27,2023-03-27,2023-04-03
313,17286,SO44264,3578.27,2023-03-27,2023-04-03
320,25557,SO44265,699.0982,2023-03-27,2023-04-03
336,25559,SO44266,699.0982,2023-03-27,2023-04-03
336,19339,SO44267,699.0982,2023-03-28,2023-04-04
312,13820,SO44268,3578.27,2023-03-28,2023-04-04
326,14589,SO44269,699.0982,2023-03-29,2023-04-05
314,13794,SO44270,3578.27,2023-03-30,2023-04-06
314,13846,SO44271,3578.27,2023-03-30,2023-04-06
311,12256,SO44272,3578.27,2023-03-30,2023-04-06
311,28147,SO44273,3578.27,2023-03-30,2023-04-06
314,28152,SO44274,3578.27,2023-03-30,2023-04-06
311,17256,SO44275,3578.27,2023-03-30,2023-04-06
313,17277,SO44276,3578.27,2023-03-30,2023-04-06
311,17288,SO44277,3578.27,2023-03-30,2023-04-06
310,17293,SO44278,3578.27,2023-03-30,2023-04-06
313,17326,SO44279,3578.27,2023-03-30,2023-04-06
314,14429,SO44320,3578.27,2023-03-31,2023-04-07
311,28222,SO44321,3578.27,2023-03-31,2023-04-07
328,17975,SO44322,699.0982,2023-03-31,2023-04-07
344,11072,SO44323,3399.99,2023-03-31,2023-04-07
311,12267,SO44324,3578.27,2023-04-01,2023-04-08
351,11095,SO44325,3374.99,2023-04-01,2023-04-08
312,17728,SO44326,3578.27,2023-04-01,2023-04-08
314,28598,SO44327,3578.27,2023-04-02,2023-04-09
310,17921,SO44328,3578.27,2023-04-02,2023-04-09
311,17904,SO44329,3578.27,2023-04-02,2023-04-09
312,28199,SO44330,3578.27,2023-04-02,2023-04-09
311,28257,SO44331,3578.27,2023-04-03,2023-04-10
310,17510,SO44332,3578.27,2023-04-03,2023-04-10
345,11343,SO44333,3399.99,2023-04-04,2023-04-11
311,28273,SO44334,3578.27,2023-04-04,2023-04-11
324,20165,SO44335,699.0982,2023-04-04,2023-04-11
345,25895,SO44336,3399.99,2023-04-04,2023-04-11
351,11097,SO44337,3374.99,2023-04-04,2023-04-11
314,18188,SO44338,3578.27,2023-04-04,2023-04-11
311,18189,SO44339,3578.27,2023-04-04,2023-04-11
314,17354,SO44340,3578.27,2023-04-04,2023-04-11
348,25905,SO44341,3374.99,2023-04-05,2023-04-12
320,14610,SO44342,699.0982,2023-04-05,2023-04-12
314,17920,SO44343,3578.27,2023-04-05,2023-04-12
310,14427,SO44344,3578.27,2023-04-06,2023-04-13
313,28200,SO44345,3578.27,2023-04-06,2023-04-13
336,14602,SO44346,699.0982,2023-04-06,2023-04-13
312,17911,SO44347,3578.27,2023-04-06,2023-04-13
313,14159,SO44348,3578.27,2023-04-07,2023-04-14
311,28243,SO44349,3578.27,2023-04-07,2023-04-14
312,28244,SO44350,3578.27,2023-04-07,2023-04-14
314,28271,SO44351,3578.27,2023-04-07,2023-04-14
311,28297,SO44352,3578.27,2023-04-07,2023-04-14
326,14591,SO44353,699.0982,2023-04-07,2023-04-14
336,14603,SO44354,699.0982,2023-04-07,2023-04-14
347,11093,SO44355,3399.99,2023-04-07,2023-04-14
345,11099,SO44356,3399.99,2023-04-07,2023-04-14
310,17511,SO44357,3578.27,2023-04-07,2023-04-14
310,17732,SO44358,3578.27,2023-04-07,2023-04-14
311,14525,SO44359,3578.27,2023-04-08,2023-04-15
311,14158,SO44360,3578.27,2023-04-08,2023-04-15
310,13686,SO44361,3578.27,2023-04-08,2023-04-15
310,28259,SO44362,3578.27,2023-04-08,2023-04-15
312,28285,SO44363,3578.27,2023-04-08,2023-04-15
348,11092,SO44364,3374.99,2023-04-08,2023-04-15
